Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Argentina,Parque Solar Tamberías,Solar,San Juan,3.6,Em operação,2021,Latinoamericana de Energía S.A.,Privado,Pilar (Argentina),https://www.energiaestrategica.com/latinoamericana-de-energia-inauguro-parque-solar-y-confia-en-destrabar-proyectos-en-la-rioja-y-catamarca/,-31.39601733,-69.46212623
Argentina,Parque Solar Iglesia-Guañizuil,Solar,San Juan,80,Em operação,2019,Jinko Solar,Privado,Cidade de Buenos Aires (Argentina),https://es.wikipedia.org/wiki/Parque_solar_Iglesia-Estancia_Gua%C3%B1izuil,-30.3551,-69.2914
Argentina,Central Eólica Gastre,Eólica,Gastre. Chubut,1350,Em construção,Indeterminado,GEASSA,Privado,Cidade de Buenos Aires (Argentina),http://www.ambiente.chubut.gov.ar/wp-content/uploads/2014/10/Parque-E%C3%B3lico-Gastre.pdf,-42.40159053,-69.27920433
Argentina,Parque Eólico Añelo II,Eólica,Añelo. Neuquén,100,Planejado,Indeterminado,ADI NQN SEP,Estatal,Neuquén (Argentina),http://www.web.adinqn.gov.ar/sectores/energeticos/eolico/aneloii100mw/,-38.30557327,-68.75152504
Argentina,Parque Solar Ullum Solargen II,Solar,San Juan,6.5,Em operação,2019,Solargen Ullum S.A.,Privado,Rosário (Argentina),https://www.energiaestrategica.com/la-experiencia-de-sidersa-con-el-inaugurado-parque-solar-ullum-iv-financiado-por-el-bice/,-31.39065,-68.68035
Argentina,Parque Solar Ullum IV,Solar,San Juan,13.5,Em operação,2019,SIDERSA S.A.,Privado,Cidade de Buenos Aires (Argentina),http://www.revistavivienda.com.ar/destacadas/comenzo-a-operar-el-parque-solar-ullum-iv,-31.38463,-68.67833
Argentina,Planta Piloto Fotovoltaica San Juan I,Solar,Ullum. San Juan,1.2,Em operação,2011,EPSE - Energía Provincial Sociedad del Estado,Estatal,San Juan (Argentina),https://www.epsesanjuan.com.ar/index.php/web/proyecto/planta-fotovoltaica-san-juan-i-/6#:~:text=Al%20ser%20concebida%20como%20planta.silicio%20que%20se%20utilizan%20actualmente.&text=Cuenta%20con%20un%20total%20de.operaci%C3%B3n%20en%20marzo%20de%202011.,-31.3891,-68.6752
Argentina,Ullum III,Solar,San Juan,32,Em operação,2019,GENNEIA,Privado,Olivos (Argentina),http://energiasdemipais.educ.ar/marcador/parque-solar-fotovoltaico-ullum-iii/,-31.33588,-68.67292
Argentina,Ullum I,Solar,San Juan,25,Em operação,2020,GENNEIA,Privado,Olivos (Argentina),https://www.epse.com.ar/web/proyecto/proyectos-fotovoltaicos-de-epse-/22,-31.33265,-68.66753
Argentina,Ullum II,Solar,San Juan,25,Em operação,2019,GENNEIA,Privado,Olivos (Argentina),https://www.epse.com.ar/web/solar-proyectos/planta-solar-ullum-ii/5,-31.34248,-68.66574
